headine,image_url,authour,entry_date,description,newspaper_name,category,url
"Northern APC govs have ruined Atiku’s chances, says VON DG, Okechukwu",,Adebayo Folorunsho-Francis,5 June 2022,"A chieftain of the ruling All Progressives Congress, Osita Okechukwu, has saluted the 10 Northern governors who supported the zoning of the APC presidential ticket to the South.
",Punch Newspaper,Politics,https://punchng.com/northern-apc-govs-have-ruined-atikus-chances-says-von-dg-okechukwu/
Buhari backs southern candidate for president,,Sodiq Oyeleke,4 June 2022,"The President, Major General Muhammadu Buhari (retd.), has backed the emergence of a southerner as a president in 2023.
",Punch Newspaper,Politics,https://punchng.com/breaking-buhari-backs-southern-candidate-for-president/
Tambuwal wins PDP senatorial ticket for Sokoto South,,,4 June 2022,"The Governor of Sokoto State, Aminu Waziri Tambuwal, has been declared the senatorial candidate of the Peoples Democratic Party for Sokoto South.
",Punch Newspaper,Politics,https://punchng.com/just-in-tambuwal-wins-pdp-senatorial-ticket-for-sokoto-south/
Gov Badaru withdraws from APC presidential race,,Sodiq Oyeleke,4 June 2022,"Jigawa Governor Abubakar Badaru has withdrawn from the All Progressives Congress presidential race.
",Punch Newspaper,Politics,https://punchng.com/breaking-gov-badaru-withdraws-from-apc-presidential-race/
"Tinubu’s remarks about Buhari, a statement of fact, says Magnus Abe",,Victoria Edeme,4 June 2022,"Former senator and Rivers State governorship aspirant of the All Progressives Congress, Magnus Abe, has supported comments made by a presidential aspirant, Bola Tinubu, about the President, Major General Muhammadu Buhari (retd.).
",Punch Newspaper,Politics,https://punchng.com/tinubus-remarks-about-buhari-a-statement-of-fact-says-magnus-abe/
Northern APC govs back power shift to South,,Sodiq Oyeleke,4 June 2022,"All Progressives Congress Governors from the Northern part of the country have backed the transfer of power to the South.
",Punch Newspaper,Politics,https://punchng.com/breaking-northern-apc-govs-back-power-shift-to-south/
10 APC govs ask Northern aspirants to withdraw from presidential race,,Sodiq Oyeleke,4 June 2022,"All Progressives Congress Governors from the Northern part of the country have asked aspirants from the region to resign from the presidential race.
",Punch Newspaper,Politics,https://punchng.com/breaking-10-apc-govs-ask-northern-aspirants-to-withdraw-from-presidential-race/
"APC makes a U-turn, says no aspirant disqualified",,Adebayo Folorunsho-Francis,4 June 2022,The All Progressives Congress on Saturday denied disqualifying 10 presidential aspirants.,Punch Newspaper,Politics,https://punchng.com/breaking-apc-makes-a-u-turn-says-no-aspirant-disqualified/
"After losing PDP presidential ticket, Bauchi gov wins second term ticket",,Agency Report,4 June 2022,"Governor Bala Mohammed of Bauchi State has won the Peoples Democratic Party re-scheduled governorship primary election in the state.
",Punch Newspaper,Politics,https://punchng.com/after-losing-pdp-presidential-ticket-bauchi-gov-wins-second-term-ticket/
"Tinubu, Osinbajo, others arrive Presidential Villa for meeting with Buhari",,,4 June 2022,"The President, Major General Muhammadu Buhari (retd.), is currently meeting with Presidential aspirants of the All Progressives Congress, at the State House, Abuja.
",Punch Newspaper,Politics,https://punchng.com/just-in-tinubu-osinbajo-others-arrive-presidential-villa-for-meeting-with-buhari/
"Southern govs hail northern colleagues on power shift, commend Badaru",,Sodiq Oyeleke,4 June 2022,"Southern Nigeria Governors’ Forum has hailed the resolution of the 10 governors from the North backing power shift to the southern region in 2023.
",Punch Newspaper,Politics,https://punchng.com/just-in-southern-govs-hail-northern-colleagues-on-power-shift-commend-badaru/
2023: Akeredolu seeks unity among APC members,,Peter Dada,5 June 2022,"The Ondo State Governor, Mr Rotimi Akeredolu, has commended the state chapter of the All Progressives Congress for the smooth conduct of the just concluded primary.
",Punch Newspaper,Politics,https://punchng.com/2023-akeredolu-seeks-unity-among-apc-members/
"Mohammed wins gov primary, thanks Bauchi SSG",,Armstrong Bakam,5 June 2022," State Governor, Bala Mohammed, has been declared winner of the rerun governorship primary election of the Peoples Democratic Party in the state.
",Punch Newspaper,Politics,https://punchng.com/mohammed-wins-gov-primary-thanks-bauchi-ssg/
"Ekiti poll: INEC gets 3,346 BVAS machines, lists eight flashpoints",,Friday Olokor,5 June 2022," Independent National Electoral Commission would be deploying 10,269 personnel for the Ekiti State governorship election scheduled for June 18, its Resident Electoral Commissioner, Dr Adeniran Tella, said on Saturday.
",Punch Newspaper,Politics,https://punchng.com/ekiti-poll-inec-gets-3346-bvas-machines-lists-eight-flashpoints/
"Ondo attack: Explanations, condemnations, reassurances no longer comforting, says NMA",,Samuel Bolaji,5 June 2022,"The Nigerian Medical Association has condemned the “wanton killing” of worshippers at St. Francis Catholic Church, Owa-luwa Street, in Owo town, Owo Local Government Area of Ondo State.
",Punch Newspaper,Politics,https://punchng.com/ondo-attack-explanations-condemnations-reassurances-no-longer-comforting-says-nma/
PICTORIAL: Buhari meets APC aspirants ahead of presidential primary,,Noah Banjo,5 June 2022,"The President, Major General Muhammadu Buhari (retd.), on Saturday night met with presidential aspirants of the All Progressives Congress ahead of the party’s presidential primary in Abuja.
",Punch Newspaper,Politics,https://punchng.com/pictorial-buhari-meets-apc-aspirants-ahead-of-presidential-primary/
Atiku’s ex-aide Ardo elected SDP gov candidate in Adamawa,,Hindi Livinus,5 June 2022,"Dr Umar Ardo has emerged as the governorship candidate of the Social Democratic Party in Adamawa State.
",Punch Newspaper,Politics,https://punchng.com/atikus-ex-aide-ardo-elected-sdp-gov-candidate-in-adamawa/
"Ohanaeze condemns Ondo church attack, tasks Amotekun to buckle down",,Raphael Ede,5 June 2022,"The apex Igbo Socio-cultural group, Ohanaeze Ndigbo, has condemned the unprovoked attack on St. Francis Catholic Church, Owa-luwa street, Ondo State, describing it as evil.
",Punch Newspaper,Politics,https://punchng.com/ohanaeze-condemns-ondo-church-attack-tasks-amotekun-to-buckle-down/
We’ll no longer route sensitive election materials through CBN – INEC,,Deborah Tolu-Kolawole,5 June 2022,"The Chairman of the Independent National Electoral Commission, Prof Mahmood Yakubu, says sensitive election materials will no longer be “routed” through the Central Bank of Nigeria.
",Punch Newspaper,Politics,https://punchng.com/well-no-longer-route-sensitive-election-materials-through-cbn-inec/
Candidate kicks as Edo PDP holds fresh senatorial primary,,Adeyinka Adedipe,5 June 2022,"With the dust yet to settle over parallel primaries held in Edo by the Peoples Democratic Party, more confusion ensued on Saturday over a fresh election for the Edo North Senatorial ticket.
",Punch Newspaper,Politics,https://punchng.com/candidate-kicks-as-edo-pdp-holds-fresh-senatorial-primary/
"Enugu PDP gov candidate hails Ekweremadu, others",,Friday Olokor,5 June 2022,"The governorship candidate of the Peoples Democratic Party in Enugu State, Peter Mbah, has expressed gratitude to a former Deputy Senate President, Ike Ekweremadu, and other persons who contested the just-concluded primary in the state for their spirit of sportsmanship in his endorsement for the 2023 on the platform of the Peoples Democratic Party.
",Punch Newspaper,Politics,https://punchng.com/enugu-pdp-gov-candidate-hails-ekweremadu-others/
"NASS landlords – Lawmakers who have spent 20 years in Senate, House of Reps",,Leke Baiyewu,5 June 2022," Nigeria returned to democracy in 1999, Nigeria has had four presidents – Olusegun Obasanjo, Umaru Yar’Adua, Goodluck Jonathan and the incumbent, Major General Muhammadu Buhari (retd.).
",Punch Newspaper,Politics,https://punchng.com/nass-landlords-lawmakers-who-have-spent-20-years-in-senate-house-of-reps/
"El-Rufai, Zulum, other Northern govs backing South are traitors –Coalition",,Adebayo Folorunsho-Francis,5 June 2022,"A regional group, Northern Interests Coalition, has faulted the 10 Northern governors of the All Progressives Congress who threw their weight behind power returning to the South in 2023.
",Punch Newspaper,Politics,https://punchng.com/el-rufai-zulum-other-northern-govs-backing-south-are-traitors-coalition/
"Gunmen kill policeman in Delta, escape with rifles",,Dele Ogunyemi,5 June 2022,"There was pandemonium at Uti junction in Effurun, Uvwie Local Government Area of Delta State on Sunday as gunmen shot dead a policeman conveyed on a motorcycle, and escaped with the service rifles on him.
",Punch Newspaper,Politics,https://punchng.com/gunmen-kill-policeman-in-delta-escape-with-rifles/
Ondo attack: Police deploy anti-bomb squad,,Sodiq Oyeleke,5 June 2022,"The Commissioner of Police in Ondo State, Mr Oyeyemi Oyediran, has deployed officers of the Explosive Ordinance Device Unit (anti-bomb squad) to the scene of the attack in Owo Local Government Area of the state.
",Punch Newspaper,Politics,https://punchng.com/ondo-attack-police-deploy-anti-bomb-squad/
"Owo church attack: We’ll keep standing against evil, says Osinbajo",,Victoria Edeme,5 June 2022,"Vice President Yemi Osinbajo has stated that the Federal Government will continue to stand against evil.
",Punch Newspaper,Politics,https://punchng.com/owo-church-attack-well-keep-standing-against-evil-says-osinbajo/
"Pictorial: Tinubu, Osinbajo, other South-West APC presidential aspirants on consensus",,Sodiq Oyeleke,5 June 2022,"The ruling All Progressives Congress presidential aspirants from the South-West and key stakeholders met in Abuja on Saturday.
",Punch Newspaper,Politics,https://punchng.com/pictorial-tinubu-osinbajo-other-south-west-apc-presidential-aspirants-on-consensus/
Umahi hasn’t stepped down from presidential race -Campaign group,,Sodiq Oyeleke,5 June 2022,"Governor Dave Umahi of Ebonyi State has debunked reports that he had stepped down from the presidential race
",Punch Newspaper,Politics,https://punchng.com/umahi-hasnt-stepped-down-from-presidential-race-campaign-group/
"2023: What Buhari told Tinubu, Osinbajo, other APC aspirants at Aso Villa",,Sodiq Oyeleke,5 June 2022,"The President Muhammadu Buhari Saturday night met with all the aspirants for President on the platform of All Progressives Congress, at State House, Abuja.
",Punch Newspaper,Politics,https://punchng.com/2023-what-buhari-told-tinubu-osinbajo-other-apc-aspirants-at-aso-villa/
"Shettima apologises for labelling Osinbajo ice-cream seller, Lawan tomato vendor",,Adebayo Folorunsho-Francis,5 June 2022,"Former Governor of Borno State, Kashim Shettima, on Sunday morning apologised to Vice President Yemi Osinbajo and Senate President, Ahmad Lawan, saying he did not mean to denigrate them.
",Punch Newspaper,Politics,https://punchng.com/shettima-apologises-for-labelling-osinbajo-ice-cream-seller-lawan-tomato-vendor/
Makinde’s deputy dumps PDP for APC,,Olufemi Olaniyi,5 June 2022,"Oyo State Deputy Governor, Rauf Olaniyan, on Sunday, announced that he had defected to the All Progressives Congress.
",Punch Newspaper,Politics,https://punchng.com/breaking-makindes-deputy-dumps-pdp-for-apc/
"Consensus: Tinubu, Osinbajo, other South-West APC presidential aspirants meet",,Sodiq Oyeleke,5 June 2022,"The ruling All Progressives Congress presidential aspirants from the South-West and key stakeholders met in Abuja on Saturday.
",Punch Newspaper,Politics,https://punchng.com/consensus-tinubu-osinbajo-other-south-west-apc-presidential-aspirants-meet/
"How Fayose lured me into governorship race, abandoned me – Ex-deputy gov, Eleka",,Abiodun Nejo,5 June 2022,"
",Punch Newspaper,Politics,https://punchng.com/how-fayose-lured-me-into-governorship-race-abandoned-me-ex-deputy-gov-eleka/
"Only God knows why Fayose dumped Eleka to back me –Kolawole, Ekiti PDP gov candidate",,Abiodun Nejo,5 June 2022,"
",Punch Newspaper,Politics,https://punchng.com/only-god-knows-why-fayose-dumped-eleka-to-back-me-kolawole-ekiti-pdp-gov-candidate/
We won’t vote for presidential candidate above 55 years – Group,,Godwin Isenyo,5 June 2022,"A group, Nigerian Youth Collective Action, has said that it won’t vote for any presidential candidate above the age of 55 years in the 2023 general election.
",Punch Newspaper,Politics,https://punchng.com/we-wont-vote-for-presidential-candidate-above-55-years-group/
Lagos PDP aspirants seek fresh Assembly primaries,,Sodiq Oyeleke,5 June 2022,"The Peoples Democratic Party aspirants for Lagos State’s House of Assembly have called on the National Working Committee of the PDP to order fresh primaries just as it did for their House of Representatives counterparts.
",Punch Newspaper,Politics,https://punchng.com/lagos-pdp-aspirants-seek-fresh-assembly-primaries/
PDP gov candidates to receive certificates of return Tuesday,,Victoria Edeme,5 June 2022,"The National Working Committee of the Peoples Democratic Party has announced that the presentation of certificates of return to the party’s governorship candidates will hold on Tuesday.
",Punch Newspaper,Politics,https://punchng.com/pdp-gov-candidates-to-receive-certificates-of-return-tuesday/
